Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01308E+12,13-Jan-14,21-Dec-12,HPN,"Westchester County, White Plains",USAir  ,Personal Injury,Checked Baggage,Audio/Video; Jewelry & Watches,0.00,Deny
2.01408E+12,17-Jul-14,30-Jun-14,MCO,Orlando International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,-,0.00,Deny
2.01401E+12,7-Jan-14,27-Dec-13,SJU,Luis Munoz Marin International,Jet Blue,Property Damage,Checked Baggage,Food & Drink,50.00,Approve in Full
2.01401E+12,7-Jan-14,2-Jan-14,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01401E+12,9-Jan-14,7-Jan-14,SAT,San Antonio International,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,0.00,Deny
2.01401E+12,13-Jan-14,15-Dec-13,CHS,Charleston International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01401E+12,14-Jan-14,24-Mar-13,SJU,Luis Munoz Marin International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Jewelry & Watches,-,-
2.01401E+12,14-Jan-14,23-Dec-13,LAX,Los Angeles International Airport ,Air Canada,Property Damage,Checkpoint,Computer & Accessories,198.33,Settle
2.01401E+12,23-Jan-14,29-Dec-13,PVD,"TF Green Airport, Providence",USAir  ,Property Damage,Checked Baggage,Audio/Video,89.99,Settle
2.01401E+12,27-Jan-14,1-Jan-14,BLI,Bellingham International,Alaska Airlines  ,Property Damage,Checked Baggage,Jewelry & Watches,0.00,Deny
2.01402E+12,29-Jan-14,23-Jan-14,LGA,LaGuardia ,USAir  ,Property Damage,Checkpoint,Clothing,210.00,Settle
2.01402E+12,1-Feb-14,15-Dec-13,JFK,John F. Kennedy International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.01402E+12,4-Feb-14,14-Jan-14,ONT,Ontario International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01402E+12,25-Jan-14,24-Jan-14,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0.00,Deny
2.01402E+12,13-Feb-14,2-Feb-14,BTR,Baton Rouge Metropolitan,UAL  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,45.00,Approve in Full
2.01402E+12,11-Feb-14,19-Jan-14,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0.00,Deny
2.01402E+12,25-Feb-14,15-Feb-14,BOS,Boston (Logan) International Airport ,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Travel Accessories,40.00,Approve in Full
2.01402E+12,24-Feb-14,2-Jan-14,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,93.00,Approve in Full
2.01403E+12,25-Feb-14,15-Feb-14,AUS,Austin-Bergstrom International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,0.00,Deny
2.01403E+12,6-Mar-14,28-Feb-14,HNL,Honolulu International Airport,Air New Zealand,Passenger Property Loss,Checked Baggage,-,-,-
2.01403E+12,7-Mar-14,4-Mar-14,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,Other,344.00,Approve in Full
2.01403E+12,10-Mar-14,15-Mar-12,CLE,Cleveland Hopkins International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,50.00,Approve in Full
2.01403E+12,17-Mar-14,24-Oct-13,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checkpoint,Clothing,-,-
2.01403E+12,19-Mar-14,20-Jan-14,JFK,John F. Kennedy International,Air France,Passenger Property Loss,Checked Baggage,Clothing,280.57,Settle
2.01403E+12,22-Mar-14,27-Feb-14,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checkpoint,Jewelry & Watches,80.00,Approve in Full
2.01403E+12,25-Mar-14,6-Mar-14,OGG,"Kahului-Maui, HI",Air Canada,Passenger Property Loss,Checkpoint,Medical/Science,93.21,Approve in Full
2.01404E+12,1-Apr-14,2-Nov-13,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Property Damage,Checked Baggage,Home Decor,52.98,Approve in Full
2.01404E+12,2-Apr-14,10-Mar-14,TPA,Tampa International,Air Canada,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01404E+12,10-Apr-14,4-Apr-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,159.20,Approve in Full
2.01404E+12,16-Apr-14,13-Apr-14,SEA,Seattle-Tacoma International,Southwest Airlines  ,Property Damage,Checkpoint,Computer & Accessories,587.11,Settle
2.01404E+12,21-Apr-14,3-Apr-14,JAX,Jacksonville International,Southeast Airlines,Passenger Property Loss,Checked Baggage,Clothing,0.00,Deny
