Claim Number,Date Received,Incident D,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2015060222904,05/28/2015,05/21/2015,ABE,"Lehigh Valley International Airport, Allentown",Allegiant Air,Property Damage,Checkpoint,Personal Electronics,0,Deny
2015082725115,08/21/2015,08/01/2015,ABE,"Lehigh Valley International Airport, Allentown",-,Property Damage,Checked Baggage,Sporting Equipment & Supplies,180,Settle
2015102326219,10/07/2015,10/02/2015,ABE,"Lehigh Valley International Airport, Allentown",Allegiant Air,Passenger Property Loss,Checked Baggage,Clothing,60,Approve in Full
2015122027695,10/27/2015,10/19/2015,ABE,"Lehigh Valley International Airport, Allentown",Allegiant Air,Property Damage,Checkpoint,Personal Accessories,-,-
2015012220065,01/22/2015,12/23/2014,ABI,Abilene Regional,American Airlines  ,Property Damage,Checked Baggage,Home Decor,0,Deny
2015081024734,08/05/2015,07/14/2015,ABI,Abilene Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,200,Approve in Full
2015092825697,09/07/2015,08/06/2015,ABI,Abilene Regional,American Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny
2015010919746,01/09/2015,11/24/2014,ABQ,Albuquerque International Sunport Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2015022720896,02/27/2015,02/26/2013,ABQ,Albuquerque International Sunport Airport,American Airlines  ,Passenger Property Loss,Checkpoint,-,0,Deny
2015040721792,04/06/2015,01/02/2015,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing; Home Decor,136.49,Settle
2015052722773,05/27/2015,05/06/2015,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Household Items,0,Deny
2015060422932,05/29/2015,12/20/2014,ABQ,Albuquerque International Sunport Airport,UAL  ,Passenger Property Loss,Checked Baggage,Cameras; Computer & Accessories; Personal Electronics,0,Deny
2015062523439,06/25/2015,05/30/2015,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2015072324120,07/15/2015,06/14/2015,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,121.89,Settle
2015072124032,07/21/2015,07/07/2015,ABQ,Albuquerque International Sunport Airport,USAir  ,Passenger Property Loss,Checked Baggage,-,0,Deny
2015073124423,07/22/2015,05/29/2015,ABQ,Albuquerque International Sunport Airport,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2015081824946,08/18/2015,08/12/2015,ABQ,Albuquerque International Sunport Airport,Jet Blue,Property Damage,Checked Baggage,Clothing,0,Deny
2015083125181,08/18/2015,08/15/2015,ABQ,Albuquerque International Sunport Airport,Aires Airline,Passenger Property Loss,Checked Baggage,Personal Accessories,0,Deny
2015082525077,08/19/2015,08/15/2015,ABQ,Albuquerque International Sunport Airport,Alaska Airlines  ,-,Checked Baggage,Personal Accessories,-,-
2015092325581,09/04/2015,08/16/2015,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
2015092825690,09/11/2015,08/08/2015,ABQ,Albuquerque International Sunport Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Food & Drink,0,Deny
2015100125817,10/01/2015,07/31/2015,ABQ,Albuquerque International Sunport Airport,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2015111626893,10/26/2015,10/12/2015,ABQ,Albuquerque International Sunport Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2015102926385,10/29/2015,10/05/2015,ABQ,Albuquerque International Sunport Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2015112327063,11/03/2015,10/12/2015,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2015122127713,12/07/2015,10/10/2015,ABQ,Albuquerque International Sunport Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,-,-
2015080324436,07/20/2015,05/20/2015,ABR,Aberdeen Regional Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2015110926712,10/19/2015,10/07/2015,ABR,Aberdeen Regional Airport,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Currency; Jewelry & Watches,-,-
2015120227241,11/12/2015,11/09/2015,ABR,Aberdeen Regional Airport,-,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2015123128024,12/18/2015,11/25/2015,ABR,Aberdeen Regional Airport,Delta Air Lines  ,Complaint,Checkpoint,-,-,-
2015032021422,03/20/2015,03/06/2015,ACK,Nantucket Memorial Airport,Cape Air  ,Passenger Property Loss,Checked Baggage,Clothing; Clothing; Clothing; Clothing,0,Deny
2015111826956,10/27/2015,10/25/2015,ACT,Waco Regional Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2015072224105,07/15/2015,05/31/2015,ACV,Arcata-Eureka,UAL  ,Passenger Property Loss,Checked Baggage,Currency; Currency; Other,0,Deny
2015020320343,02/03/2015,01/23/2015,ACY,Atlantic City International,Spirit Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,47.5,Approve in Full
2015042922169,04/29/2015,04/07/2015,ACY,Atlantic City International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Other,38,Approve in Full
2015050822389,05/08/2015,04/23/2015,ACY,Atlantic City International,Spirit Airlines,Property Damage,Checkpoint,Clothing,30,Approve in Full
2015070823700,06/30/2015,06/18/2015,ACY,Atlantic City International,Republic Airways,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,0,Deny
2015080624611,08/06/2015,07/13/2015,ACY,Atlantic City International,-,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2015102226197,10/02/2015,08/26/2015,ACY,Atlantic City International,Spirit Airlines,Property Damage,Checked Baggage,Computer & Accessories,31.92,Settle
2015100525869,09/16/2015,08/13/2015,ADK,Adak Mitchell Field Airport,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Outdoor Items,0,Deny
2015013020310,01/30/2015,11/18/2014,ADQ,Kodiak State Airport,Alaska Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,65.01,Approve in Full
2015032621512,03/26/2015,02/11/2015,ADQ,Kodiak State Airport,Alaska Airlines  ,Property Damage,Checked Baggage,-,0,Deny
2015071423780,07/01/2015,05/30/2015,AGS,Bush Field,USAir  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2015072023986,07/20/2015,07/04/2015,AGS,Bush Field,-,Property Damage,Checked Baggage,Cosmetics & Grooming,0,Deny
2015122927958,12/10/2015,12/01/2015,AGS,Bush Field,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,25,Approve in Full
2015011219787,01/12/2015,10/17/2014,ALB,Albany International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,10.86,Approve in Full
2015020420399,02/04/2015,01/05/2015,ALB,Albany International,USAir  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny
2015020920503,02/09/2015,02/03/2015,ALB,Albany International,UAL  ,Property Damage,Checked Baggage,Other,247.5,Settle
2015021320565,02/13/2015,01/05/2015,ALB,Albany International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,100,Approve in Full
2015021820652,02/18/2015,01/17/2015,ALB,Albany International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,240.71,Approve in Full
2015031621239,03/11/2015,02/28/2015,ALB,Albany International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0,Deny
2015031721313,03/17/2015,02/19/2015,ALB,Albany International,Southwest Airlines  ,Property Damage,Checked Baggage,Personal Accessories,0,Deny
2015041421906,04/14/2015,10/15/2014,ALB,Albany International,USAir  ,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,82,Approve in Full
2015042422114,04/27/2015,04/08/2015,ALB,Albany International,USAir  ,Property Damage,Checkpoint,Personal Accessories,192.78,Settle
2015050522313,04/28/2015,04/18/2015,ALB,Albany International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,19,Approve in Full
2015050822384,05/08/2015,04/16/2015,ALB,Albany International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,40,Approve in Full
2015051222472,05/08/2015,02/13/2015,ALB,Albany International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,57.95,Approve in Full
2015052122677,05/21/2015,03/16/2015,ALB,Albany International,Southwest Airlines  ,Property Damage,Checkpoint,Clothing,46,Approve in Full
2015052222718,05/22/2015,09/04/2014,ALB,Albany International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
